                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
44,0.68833,0.53357,1.0557,0.96159,0.9319,0.97574,0.87647,0.41792,0.24556,0.84346,0.0008581,0.0008581,0.0008581
45,0.68411,0.53216,1.05,0.96213,0.93235,0.97608,0.87735,0.41618,0.24382,0.84247,0.0008548,0.0008548,0.0008548
46,0.6795,0.52765,1.05,0.96094,0.93397,0.97629,0.87827,0.41457,0.24231,0.84175,0.0008515,0.0008515,0.0008515
47,0.67728,0.52211,1.0525,0.96192,0.9344,0.97673,0.87925,0.41285,0.24075,0.84081,0.0008482,0.0008482,0.0008482
48,0.67585,0.52404,1.05,0.96389,0.93495,0.97696,0.88001,0.41191,0.23899,0.84005,0.0008449,0.0008449,0.0008449
49,0.67474,0.52157,1.0504,0.9642,0.93617,0.9774,0.88081,0.41121,0.23739,0.8394,0.0008416,0.0008416,0.0008416
50,0.66971,0.51645,1.045,0.96325,0.93846,0.97787,0.88165,0.40986,0.23583,0.83862,0.0008383,0.0008383,0.0008383
51,0.66806,0.51448,1.0488,0.9639,0.93857,0.97821,0.88249,0.40868,0.23447,0.83783,0.000835,0.000835,0.000835
52,0.66932,0.51469,1.0474,0.96563,0.93843,0.97842,0.88325,0.40729,0.23291,0.83703,0.0008317,0.0008317,0.0008317
53,0.66599,0.51181,1.0451,0.96503,0.94009,0.9788,0.88387,0.40606,0.23165,0.83623,0.0008284,0.0008284,0.0008284
54,0.66172,0.50556,1.041,0.96631,0.9394,0.97907,0.88473,0.40491,0.23028,0.83534,0.0008251,0.0008251,0.0008251
55,0.65976,0.5025,1.0396,0.96708,0.93965,0.97955,0.88565,0.40338,0.22875,0.83436,0.0008218,0.0008218,0.0008218
56,0.65712,0.49988,1.0405,0.96886,0.9399,0.97993,0.88649,0.40177,0.22723,0.83342,0.0008185,0.0008185,0.0008185
57,0.66001,0.49987,1.0409,0.96819,0.94085,0.98025,0.88709,0.4005,0.22556,0.83269,0.0008152,0.0008152,0.0008152
58,0.65275,0.49712,1.0355,0.96928,0.94075,0.98042,0.888,0.39932,0.22416,0.83197,0.0008119,0.0008119,0.0008119
