                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70854,                 0.5621,                 1.0501,                0.95763,                0.91787,                0.96891,                0.86254,                0.44412,                 0.2713,                0.84905,              0.0006634,              0.0006634,              0.0006634
                     36,                0.70308,                0.55553,                 1.0497,                0.95595,                0.92007,                0.96937,                0.86324,                0.44263,                0.26914,                0.84796,              0.0006535,              0.0006535,              0.0006535
                     37,                0.70306,                0.55104,                 1.0471,                0.95649,                0.92122,                0.96983,                0.86459,                0.44124,                 0.2673,                0.84701,              0.0006436,              0.0006436,              0.0006436
                     38,                 0.7038,                0.55256,                 1.0462,                  0.956,                0.92338,                0.97043,                0.86585,                0.43938,                 0.2652,                0.84561,              0.0006337,              0.0006337,              0.0006337
                     39,                0.69537,                0.54522,                 1.0415,                0.95522,                0.92553,                0.97077,                0.86691,                0.43776,                0.26316,                0.84436,              0.0006238,              0.0006238,              0.0006238
                     40,                0.69535,                0.54212,                 1.0417,                0.95391,                0.92744,                 0.9713,                0.86751,                0.43622,                0.26145,                0.84337,              0.0006139,              0.0006139,              0.0006139
                     41,                0.69438,                0.53826,                 1.0382,                 0.9554,                0.92733,                0.97181,                 0.8687,                0.43493,                0.25983,                0.84252,               0.000604,               0.000604,               0.000604
                     42,                0.68568,                0.53633,                 1.0391,                0.95477,                0.92883,                0.97199,                0.86954,                0.43342,                0.25827,                0.84171,              0.0005941,              0.0005941,              0.0005941
                     43,                0.68742,                 0.5345,                 1.0373,                0.95543,                0.92874,                0.97238,                0.87048,                0.43181,                0.25654,                0.84074,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.6813,                 0.5311,                 1.0351,                0.95537,                 0.9309,                0.97285,                0.87143,                0.43019,                0.25485,                0.83974,              0.0005743,              0.0005743,              0.0005743
                     45,                0.67871,                0.52213,                 1.0322,                0.95591,                0.93205,                0.97325,                0.87255,                0.42888,                0.25344,                0.83887,              0.0005644,              0.0005644,              0.0005644
