                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69239,                0.55615,                  1.072,                0.95624,                0.91652,                0.96784,                0.85902,                0.44594,                0.26655,                0.85742,              0.0006634,              0.0006634,              0.0006634
                     36,                0.69169,                0.55197,                 1.0736,                0.95733,                0.91798,                0.96835,                0.85988,                 0.4442,                0.26447,                0.85629,              0.0006535,              0.0006535,              0.0006535
                     37,                0.68836,                0.54619,                 1.0641,                0.95616,                 0.9202,                0.96875,                0.86111,                0.44245,                 0.2629,                0.85493,              0.0006436,              0.0006436,              0.0006436
                     38,                0.68191,                0.53892,                 1.0649,                0.95612,                0.92212,                0.96929,                0.86224,                0.44048,                0.26082,                0.85347,              0.0006337,              0.0006337,              0.0006337
                     39,                0.67943,                 0.5366,                 1.0656,                0.95657,                0.92293,                0.96984,                0.86347,                0.43852,                0.25912,                0.85231,              0.0006238,              0.0006238,              0.0006238
                     40,                0.67916,                0.53167,                  1.061,                0.95601,                0.92631,                0.97027,                0.86468,                0.43673,                0.25724,                0.85113,              0.0006139,              0.0006139,              0.0006139
                     41,                0.66986,                0.52353,                 1.0582,                0.95698,                0.92624,                0.97078,                0.86577,                 0.4352,                0.25526,                   0.85,               0.000604,               0.000604,               0.000604
                     42,                0.66861,                0.52304,                 1.0611,                0.95877,                0.92554,                0.97122,                0.86688,                0.43356,                 0.2532,                0.84911,              0.0005941,              0.0005941,              0.0005941
                     43,                0.66686,                0.51727,                 1.0561,                0.96107,                0.92546,                0.97183,                0.86786,                0.43153,                0.25143,                0.84798,              0.0005842,              0.0005842,              0.0005842
                     44,                0.66344,                0.51468,                 1.0562,                0.96122,                0.92595,                0.97231,                0.86886,                0.43009,                0.24995,                0.84689,              0.0005743,              0.0005743,              0.0005743
                     45,                0.66162,                0.51466,                 1.0523,                0.96369,                0.92505,                0.97282,                0.87019,                0.42819,                0.24774,                0.84564,              0.0005644,              0.0005644,              0.0005644
                     46,                0.66002,                0.50939,                 1.0516,                0.96215,                0.92718,                0.97307,                0.87145,                0.42634,                0.24607,                0.84437,              0.0005545,              0.0005545,              0.0005545
                     47,                0.65701,                0.50837,                 1.0505,                0.96277,                0.92835,                0.97355,                0.87216,                0.42449,                0.24467,                0.84316,              0.0005446,              0.0005446,              0.0005446
                     48,                0.65517,                 0.5018,                 1.0444,                0.96412,                0.92875,                0.97392,                0.87301,                0.42289,                0.24319,                0.84203,              0.0005347,              0.0005347,              0.0005347
                     49,                0.65034,                0.49742,                 1.0442,                0.96615,                0.92903,                0.97438,                0.87371,                0.42151,                0.24151,                0.84097,              0.0005248,              0.0005248,              0.0005248
                     50,                0.65029,                0.49704,                 1.0417,                0.96656,                0.92901,                0.97471,                0.87461,                0.42016,                 0.2401,                0.84002,              0.0005149,              0.0005149,              0.0005149
                     51,                0.64545,                0.49259,                 1.0412,                0.96591,                0.93104,                0.97515,                0.87526,                0.41873,                0.23864,                0.83901,               0.000505,               0.000505,               0.000505
                     52,                0.64569,                0.49187,                  1.042,                 0.9649,                 0.9322,                0.97552,                0.87617,                0.41715,                0.23694,                0.83798,              0.0004951,              0.0004951,              0.0004951
                     53,                0.64267,                0.48568,                 1.0408,                0.96446,                 0.9335,                0.97591,                0.87706,                0.41547,                0.23532,                0.83682,              0.0004852,              0.0004852,              0.0004852
                     54,                0.63975,                0.48416,                  1.041,                0.96574,                0.93368,                0.97623,                0.87816,                 0.4143,                0.23384,                0.83595,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.6367,                 0.4824,                 1.0372,                0.96611,                0.93504,                0.97639,                0.87859,                0.41284,                0.23227,                0.83515,              0.0004654,              0.0004654,              0.0004654
                     56,                0.63497,                0.47562,                 1.0343,                0.96754,                0.93435,                0.97665,                0.87926,                0.41155,                 0.2308,                0.83422,              0.0004555,              0.0004555,              0.0004555
                     57,                0.63187,                0.47689,                 1.0322,                0.96713,                0.93508,                0.97698,                0.88004,                0.40977,                 0.2296,                 0.8332,              0.0004456,              0.0004456,              0.0004456
                     58,                 0.6264,                0.47064,                 1.0325,                0.96715,                0.93567,                0.97723,                0.88093,                0.40849,                0.22853,                0.83224,              0.0004357,              0.0004357,              0.0004357
                     59,                0.62662,                 0.4685,                 1.0278,                0.96758,                0.93643,                0.97738,                0.88161,                0.40714,                0.22751,                0.83115,              0.0004258,              0.0004258,              0.0004258
                     60,                0.62307,                0.46421,                 1.0252,                0.96924,                0.93589,                0.97751,                0.88239,                0.40592,                 0.2264,                0.83016,              0.0004159,              0.0004159,              0.0004159
                     61,                0.62174,                0.45962,                 1.0243,                0.96964,                0.93655,                0.97775,                0.88343,                0.40474,                 0.2252,                0.82933,               0.000406,               0.000406,               0.000406
                     62,                0.62102,                0.45969,                 1.0284,                0.97026,                0.93647,                0.97784,                0.88379,                0.40358,                0.22412,                0.82859,              0.0003961,              0.0003961,              0.0003961
